source_group,price,area_total,rooms,floor,floors_total,address,metro,metro_walk_min,kitchen_area,walls,link
3k,30500000,81.9,3,15,17,"3к, 81.9м², 15/17 этаж, ул. Рабочая, 6к1, Москва, квартира",Римская,3,10.5,Панельные,https://msk.etagi.com/realty/11830560/
3k,34900000,82.0,3,22,50,"3к, 82м², 22/50 этаж, ул. Шмитовский проезд, 39к4, Москва, квартира",На карте Шелепиха,5,9.0,Монолитные,https://msk.etagi.com/realty/11707457/
3k,45000000,57.1,3,7,20,"3к, 57.1м², 7/20 этаж, ул. Мустая Карима, 12, Москва, квартира",На карте Технопарк,11,4.9,Монолитно-Каркасные,https://msk.etagi.com/realty/11708411/
3k,35000000,105.0,3,9,9,"3к, 105м², 9/9 этаж, ул. Пенягинская, 26, Москва, квартира",Пенягино,18,11.4,Монолитные,https://msk.etagi.com/realty/11718069/
3k,21650000,59.2,3,6,9,"3к, 59.2м², 6/9 этаж, ул. Новоясеневский проспект, 22к3, Москва, квартира",Ясенево,6,6.0,Панельные,https://msk.etagi.com/realty/11723724/
3k,16000000,66.5,3,10,12,"3к, 66.5м², 10/12 этаж, ул. Головачёва, 3к3, Москва, квартира",Котельники Люблино,41,9.0,Монолитные,https://msk.etagi.com/realty/11732641/
3k,22500000,64.0,3,9,16,"3к, 64м², 9/16 этаж, ул. Волочаевская, 4, Москва, квартира",Серп и Молот,17,7.0,Панели железобетонные,https://msk.etagi.com/realty/11732870/
3k,39900000,79.8,3,3,20,"3к, 79.8м², 3/20 этаж, ул. Автозаводская, 26/1, Москва, квартира",Тульская,11,18.94,Монолитные,https://msk.etagi.com/realty/10943221/
3k,29998000,85.0,3,4,10,"3к, 85м², 4/10 этаж, ул. Краснобогатырская, 40к1, Москва, квартира",Преображенская площадь,27,13.5,Монолитные,https://msk.etagi.com/realty/10943225/
3k,6200000,49.6,3,8,9,"3к, 49.6м², 8/9 этаж, ул. Новоясеневский проспект, 14к2, Москва, квартира",Ясенево,12,6.8,Панельные,https://msk.etagi.com/realty/10945028/
3k,24300000,78.0,3,22,22,"3к, 78м², 22/22 этаж, ул. Новороссийская, 34, Москва, квартира",Люблино,11,11.0,Панельные,https://msk.etagi.com/realty/10945370/
3k,5700000,63.0,3,2,12,"3к, 63м², 2/12 этаж, ул. Востряковский проезд, 25к1, Москва, квартира",На карте Битца,45,6.6,Железобетонные,https://msk.etagi.com/realty/10948926/
3k,20850000,76.1,3,6,17,"3к, 76.1м², 6/17 этаж, ул. Лухмановская, 33, Москва, квартира",Лухмановская,26,12.9,Панельные,https://msk.etagi.com/realty/10954672/
3k,29800000,60.0,3,10,10,"3к, 60м², 10/10 этаж, ул. Ленинский проспект, 3, Москва, квартира",Октябрьская,6,8.0,Панельные,https://msk.etagi.com/realty/10880831/
3k,38950000,72.0,3,14,37,"3к, 72м², 14/37 этаж, ул. Мосфильмовская, 98к2, Москва, квартира",Аминьевская,5,15.0,Монолитные,https://msk.etagi.com/realty/10883358/
3k,14500000,49.8,3,2,9,"3к, 49.8м², 2/9 этаж, ул. Кировоградская, 4к4, Москва, квартира",На карте Южная,15,6.0,Панельные,https://msk.etagi.com/realty/10883514/
3k,28990000,74.5,3,5,5,"3к, 74.5м², 5/5 этаж, ул. Ленинградский проспект, 45к3, Москва, квартира",в,3,10.0,Кирпичные,https://msk.etagi.com/realty/10885179/
3k,25700000,63.0,3,1,5,"3к, 63м², 1/5 этаж, ул. Самаркандский бульвар, 22к1, Москва, квартира",До метро Юго-восточная,5,9.0,Монолитные,https://msk.etagi.com/realty/10885438/
3k,24300000,55.0,3,4,5,"3к, 55м², 4/5 этаж, ул. Большая Черёмушкинская, 26к1, Москва, квартира",Академическая,17,6.0,Кирпичные,https://msk.etagi.com/realty/10885840/
3k,55000000,118.1,3,3,30,"3к, 118.1м², 3/30 этаж, ул. Малая Юшуньская, 3, Москва, квартира",Каховская,6,37.5,Монолитные,https://msk.etagi.com/realty/10766337/
3k,20800000,81.1,3,2,17,"3к, 81.1м², 2/17 этаж, ул. проспект Защитников Москвы, 13, Москва, квартира",в,3,10.7,Монолитные,https://msk.etagi.com/realty/10768249/
3k,29000000,87.0,3,3,14,"3к, 87м², 3/14 этаж, ул. 9-я Парковая, 68, Москва, квартира",На карте Щёлковская,5,15.4,Монолитные,https://msk.etagi.com/realty/10770410/
3k,24800000,64.8,3,1,9,"3к, 64.8м², 1/9 этаж, ул. проспект Андропова, 33к2, Москва, квартира",Коломенская,8,7.0,Блочные,https://msk.etagi.com/realty/10776038/
3k,13000000,50.0,3,1,9,"3к, 50м², 1/9 этаж, ул. Вешняковская, 15к1, Москва, квартира",Новогиреево,20,5.0,Панельные,https://msk.etagi.com/realty/10787089/
3k,54900000,68.5,3,3,6,"3к, 68.5м², 3/6 этаж, ул. Усачёва, 29к7, Москва, квартира",Спортивная,2,9.0,Кирпичные,https://msk.etagi.com/realty/10789199/
3k,28000000,97.0,3,4,5,"3к, 97м², 4/5 этаж, ул. 8-я улица Соколиной Горы, 20к1, Москва, квартира",На карте Соколиная Гора,8,10.4,Монолитные,https://msk.etagi.com/realty/10661212/
3k,79900000,73.0,3,2,12,"3к, 73м², 2/12 этаж, ул. Сергея Макеева, 9к2, Москва, квартира",года,12,20.0,Монолитные,https://msk.etagi.com/realty/10661805/
3k,40000000,80.0,3,6,22,"3к, 80м², 6/22 этаж, ул. Новаторов, 38к3, Москва, квартира",Новаторская,14,10.3,Панельные,https://msk.etagi.com/realty/10662487/
3k,50000000,82.0,3,4,12,"3к, 82м², 4/12 этаж, ул. Ленинградский проспект, 36с30, Москва, апартаменты",Всего,8,14.0,Монолитные,https://msk.etagi.com/realty/10662877/
